rung,n_pairs,n_drugs_in_rung,n_drugs_scored,share_pairs_with_overlap,floor_pc,ablation_degree_pc,union,margin_vs_pc,margin_vs_pc_ci_lo,margin_vs_pc_ci_hi,margin_vs_ablation,margin_vs_ablation_ci_lo,margin_vs_ablation_ci_hi
D0,89837,89,84,0.05639101929049278,0.8861969987059514,0.8765189851319125,0.8856400024644709,-0.000556996241480423,-0.015362913484198723,0.012280240828265296,0.009121017332558434,0.005239489012050026,0.012998519707884022
D1,82713,87,78,0.015342207391824743,0.8339183398493025,0.8565244575011607,0.8591755713637726,0.025257231514470124,0.0009288814814194175,0.049406607557760406,0.0026511138626119646,-0.007869562127694331,0.012903657213242485
D2,67278,60,59,0.016929754154404113,0.8098285162610798,0.8153263664048885,0.8159927115732952,0.006164195312215459,-0.013970852701168176,0.02710124920830197,0.0006663451684066901,-0.0021033993908627924,0.0034640079739661047
D3,2144,4,4,0.058768656716417914,0.859241719990961,0.8982518995561415,0.9041485876132056,0.044906867622244606,0.011171524170115354,0.09205019865679773,0.0058966880570641145,-0.010474860335195513,0.031213704994192765
D4,35811,56,56,0.0,0.8440947184453973,0.874505803669151,0.874505803669151,0.030411085223753687,0.0009005189208155852,0.06253271340522207,0.0,0.0,0.0
