ingredient_concept_id,ingredient_name
952045,amphotericin
1717240,amphotericin B
1717327,ampicillin
1789428,amprenavir
19017810,amsacrine
43013954,amyl acetate
1319051,amyl nitrite
919204,amylase
19048016,amylocaine
1381253,anagrelide
1114375,anakinra
1348265,anastrozole
19018070,ancestim
19024544,ancrod
19026277,androstenedione
19032630,anethole
19041226,anethole trithione
42898327,Angelica archangelica root extract
1319232,Angelica sinensis preparation
1735026,angelicin
19026450,anidulafungin
19032662,anileridine
44507464,aniline
19032667,aniracetam
19044890,anistreplase
42903680,annatto extract
951237,antazoline
952538,anthralin
19080406,anti-inhibitor coagulant complex
1301841,"antihemophilic factor (recombinant), Fc-VWF-XTEN fusion protein"
19136041,antilymphocyte immunoglobulin
42898339,antimony
45775357,antimony cation (5+)
19067810,antimony potassium tartrate
739756,antimony trioxide
44814271,antioxidant 119
1036059,antipyrine
1436169,antithrombin III
19136654,apazone
43013466,apigenin
19013727,apiole
43013024,apixaban
837027,apomorphine
1337331,apple cider vinegar
43531919,apple extract
42904271,apple juice
904205,apple pectin
919986,apraclonidine
44816294,apremilast
936748,aprepitant
42904131,apricot extract
19006969,aprindine
19030299,aprobarbital
19000729,aprotinin
40169416,arabica coffee bean allergenic extract
19101402,arbekacin
43012506,arbutin
42900397,Arctostaphylos uva-ursi leaf extract
19053746,ardeparin
1111220,arformoterol
42900398,argan oil
1322207,argatroban
19006410,arginine
19011039,arginine glutamate
43013470,argon
1735419,arimoclomol
757688,aripiprazole
19090984,armodafinil
919839,Arnica extract
19071833,Arnica montana extract
45892127,aromadendrin
19010961,arsenic
1333379,arsenic trioxide
19033634,artemether
19018511,artesunate
19080512,articaine
19015539,asafetida extract
42898315,Ascophyllum nodosum extract
43013471,ascorbate
40241654,ascorbate manganese
19011773,ascorbic acid
42904198,ascorbyl tetraisopalmitate
40164052,asenapine
45774608,asiatic acid
19033691,asiaticoside
19012585,asparaginase
19011069,asparagine
42898318,aspartame
19052059,aspartate
19012686,aspartic acid
40161048,Aspergillus fumigatus allergenic extract
1112807,aspirin
36920426,Aspirin DL-Lysine
40244281,astaxanthin
1150770,astemizole
1315656,Astragalus preparation
42898661,Astragalus propinquus root extract
1398719,ASTRAGALUS ROOT
1359516,Astragalus root extract
46233931,asunaprevir
1727223,atazanavir
1314002,atenolol
742185,atomoxetine
1545958,atorvastatin
19122136,atosiban
1781733,atovaquone
42898612,Atractylodes lancea root extract
19014341,atracurium
1465956,atrasentan
914335,atropine
933794,attapulgite
1114771,auranofin
1163570,aurothioglucose
1152134,aurothiomalate
40224705,autologous cultured chondrocytes
746414,avacincaptad pegol
42800040,avanafil
46276232,avilamycin
19111235,avobenzone
42900329,avocado oil
42709322,axitinib
1314865,azacitidine
42898641,Azadirachta indica flower extract
42898642,Azadirachta indica leaf extract
35605814,Azadirachta indica whole extract
1133993,azatadine
19014878,azathioprine
934075,azelastine
986790,azelate
40241205,azficel-T
19018516,azidocillin
40235485,azilsartan
19102306,azintamide
1734104,azithromycin
19015123,azlocillin
19018517,azosemide
1715117,aztreonam
36957394,Aztreonam lysine
1734205,bacampicillin
42898673,Bacillus coagulans
42903944,Bacillus firmus
42898675,Bacillus subtilis
915175,bacitracin
715233,baclofen
45775438,baicalein
44506770,baicalin
43013939,bakuchiol
19011663,Balanced salt solution
934262,balsalazide
43525835,bamboo extract
19034275,bambuterol
19015342,bamethan
19018518,bamifylline
19034280,bamipine
19071778,banana extract
1536881,banana peel extract
19066569,barberry extract
19112534,barbexaclone
19015346,barbital
42898624,barium
19011331,barium sulfate
19070896,barley grain
43012175,basil oil
19038440,basiliximab
42898651,batilol
42898652,bay leaf oil
44506794,bazedoxifene
19015423,BCG Vaccine
19023835,"BCG, live, Connaught strain"
19086176,"BCG, live, Tice strain"
1401574,bearberry preparation
912476,becaplermin
19018520,beclamide
1115572,beclomethasone
43012518,bedaquiline
19096743,bee pollen
19082737,beets preparation
40239665,belatacept
40236987,belimumab
45776670,belinostat
1116109,belladonna alkaloids
958527,"belladonna extract, USP"
19080407,belladonna leaf extract
19069137,bemiparin
1335471,benazepril
19016320,bencyclane
19015523,bendamustine
1316354,bendroflumethiazide
19035533,benfluorex
42898636,Benincasa hispida fruit extract
19016435,benorilate
935529,benoxinate
19016440,benperidol
19056541,benproperine
19016463,benserazide
19016467,bentonite
916460,benzalkonium
19035598,benzarone
19016754,benzbromarone
916802,benzethonium
711452,benzoate
917006,benzocaine
19011438,benzoin resin
1136601,benzonatate
19018546,benzophenone
42903933,benzophenone-2
36026781,benzopyrene
19056737,benzoxonium
918172,benzoyl peroxide
719128,benzphetamine
19036731,benzthiazide
719174,benztropine
19019620,benzydamine
919681,benzyl alcohol
19036946,benzyl benzoate
1146093,benzylamine
19018603,benzylparaben
19037035,benzylpenicilloyl polylysine
19018604,benzylthiouracil
40166571,bepotastine
1319751,bepridil
19057932,beractant
19012197,berberine
1201299,beremagene geperpavec
40161662,besifloxacin
19037223,beta carotene
19112540,beta sitosterol
19123344,beta-alanine
43532233,"beta-citronellol, (+-)-"
1594750,beta-pinene
42903462,beta-thujaplicin
43012190,betadex
19020124,betahistine
1520218,betaine
920458,betamethasone
1322081,betaxolol
937439,bethanechol
19022533,bethanidine
42904106,Betula pendula leaf extract
37003415,betulin
1397141,bevacizumab
1301517,bexagliflozin
1389888,bexarotene
19022956,bezafibrate
1344381,bicalutamide
45775351,bicarbonate ion
19055954,biclotymol
19058055,bifemelane
45776867,Bifidobacterium animalis
19006764,Bifidobacterium bifidum
19136097,Bifidobacterium infantis
40242566,Bifidobacterium lactis
40242573,Bifidobacterium longum
19037560,bifonazole
1314955,bilberry extract
19024068,bile salts
904525,bimatoprost
19024669,Bioflavonoids
19024770,biotin
724908,biperiden
46221338,bis-PEG-PPG-14-14 dimethicone
924939,bisacodyl
19025138,bismuth
19037706,bismuth oxide
42900374,bismuth oxychloride
779579,bismuth phosphate
19037731,bismuth subcarbonate
958134,bismuth subcitrate
937725,bismuth subgallate
19037794,bismuth subnitrate
937791,bismuth subsalicylate
19058100,bismuth tribromophenate
1338005,bisoprolol
1138050,bitolterol
19084670,bivalirudin
1510968,black carrot extract
1391648,black cohosh extract
44785611,black currant juice
19017807,black currant oil
19066500,black pepper preparation
1329241,bleomycin
45892531,blinatumomab
45776590,blueberry extract
40238770,boceprevir
19038433,bone meal
19018640,bopindolol
19005918,borage oil
929698,boric acid
19018661,bornaprine
44814486,bornyl acetate
19029824,boron
19082847,boron citrate
43012294,boron nitride
1336825,bortezomib
42898515,Bos taurus colostrum preparation
44507484,Bos taurus eye preparation
42898543,Bos taurus testicle preparation
44816307,Bos taurus uterus preparation
1321636,bosentan
19113007,bosentan monohydrate
42900401,bosutinib
40161071,boswellia preparation
863819,Botulinum antitoxin
729855,botulinum toxin type A
729959,botulinum toxin type B
19056450,botulism antitoxin A
19072699,botulism immune globulin IV human
1037015,bran
37353986,brensocatib
40241969,brentuximab vedotin
19038998,bretylium
19039029,brilliant green
915542,brimonidine
938044,brinzolamide
19122130,brivudine
35603383,broccoli sprout extract
19018742,brodimoprim
19030353,bromazepam
19030387,bromelains
1139179,bromfenac
19030493,bromhexine
45775348,bromide ion
42898570,bromine
730548,bromocriptine
19018980,bromopride
19039227,bromperidol
1130863,brompheniramine
19039262,brotizolam
19011415,brown mixture
1735390,bruceantin
19056342,buchu
19081195,buclizine
939259,budesonide
19019932,budipine
19032724,bufexamac
19039639,buflomedil
863929,Bulevirtide
932745,bumetanide
19020092,bunazosin
732893,bupivacaine
19018489,bupranolol
1133201,buprenorphine
750982,bupropion
19091254,burdock root extract
19033280,buserelin
733301,buspirone
1333357,busulfan
959174,butabarbital
40169521,butafosfan
19018488,butalamine
1139699,butalbital
939726,butamben
19039762,butamirate
