population,n_train_rows,n_val_rows,floor_pc,floor_degree_pc,drug_macro_auc_baseline_degree_pc,drug_macro_auc_with_interaction,validate_ap_baseline,validate_ap_with_interaction,n_drugs_scored
all_conditions,723586,434151,0.5759653480725085,0.5966563610140669,0.5966081017225302,0.5958259288459266,0.14172829581690982,0.14076049738517948,686
syndrome_114_widened,72853,44031,0.5727981217398341,0.5593622493628959,0.550467194156966,0.5614243890454313,0.13969446052498607,0.1467260850464678,445
syndrome_widened_structure_only,61645,33677,0.5834213613971281,0.5744199545851225,0.5506095114371283,0.5462583668409595,0.1429365328422584,0.1444583482047663,338
